YearMonth,Heating_Oil_Price,CPI,Real_Heating_Oil_Price,Heating_Degree_Days,Date,Year,Month,Quarter,Price_Change,Price_PctChange,Price_MA3,HDD_Category,HDD_Lag1,HDD_Lag3
2007-09,2.706,208.547,0.0129754923350611,52.0,2007-09-01,2007,9,3,0.0002917245722486011,0.022999835514483813,0.0127614395008724,Mild,12.0,50.0
2007-10,2.808,209.19,0.0134232037860318,209.0,2007-10-01,2007,10,4,0.00044771145097069996,0.034504390231185234,0.0130274879613018,Mild,52.0,0.0
2007-11,3.169,210.834,0.0150307825113596,659.0,2007-11-01,2007,11,4,0.0016075787253277997,0.11976118003964498,0.0138098262108175,Cold,209.0,12.0
2007-12,3.247,211.445,0.0153562392111423,1011.0,2007-12-01,2007,12,4,0.00032545669978270055,0.021652678397597436,0.014603408502844565,Severe,659.0,52.0
2008-01,3.337,212.174,0.0157276574886649,979.0,2008-01-01,2008,1,1,0.00037141827752259875,0.024186799412000637,0.015371559737055599,Severe,1011.0,209.0
2008-02,3.338,212.687,0.0156944242008209,942.0,2008-02-01,2008,2,1,-3.3233287843999204e-05,-0.002113047532218415,0.0155927736335427,Severe,979.0,659.0
2008-03,3.699,213.448,0.0173297477605786,830.0,2008-03-01,2008,3,1,0.0016353235597576996,0.10419774174780905,0.016250609816688133,Severe,942.0,1011.0
2008-04,3.875,213.942,0.0181123855998354,472.0,2008-04-01,2008,4,2,0.0007826378392567987,0.0451615251456301,0.017045519187078303,Cold,830.0,979.0
2008-05,4.185,215.208,0.0194463031114084,239.0,2008-05-01,2008,5,2,0.0013339175115730031,0.07364670458347167,0.018296145490607468,Mild,472.0,942.0
2008-06,4.589,217.463,0.021102440415151,29.0,2008-06-01,2008,6,2,0.001656137303742599,0.08516463485396386,0.019553709708798266,Warm,239.0,830.0
2008-07,4.649,219.016,0.0212267596887898,0.0,2008-07-01,2008,7,3,0.00012431927363880033,0.005891227326937143,0.020591834405116402,Warm,29.0,472.0
2008-08,4.217,218.69,0.0192830033380584,0.0,2008-08-01,2008,8,3,-0.0019437563507314001,-0.09157103482722939,0.020537401147333066,Warm,0.0,239.0
2008-09,3.952,218.877,0.018055803030926,84.0,2008-09-01,2008,9,3,-0.0012272003071324006,-0.06364155446212594,0.0195218553525914,Mild,0.0,29.0
2008-10,3.544,216.995,0.016332173552386,363.0,2008-10-01,2008,10,4,-0.0017236294785400001,-0.0954612473113362,0.0178903266404568,Cold,84.0,0.0
2008-11,3.003,213.153,0.0140884716612011,648.0,2008-11-01,2008,11,4,-0.002243701891184899,-0.13737925843049303,0.01615881608150437,Cold,363.0,0.0
2008-12,2.637,211.398,0.0124741009848721,909.0,2008-12-01,2008,12,4,-0.0016143706763290001,-0.11458806286099088,0.014298248732819735,Severe,648.0,84.0
2009-01,2.509,211.933,0.0118386471196085,1244.0,2009-01-01,2009,1,1,-0.0006354538652636015,-0.05094185673454499,0.012800406588560567,Severe,909.0,363.0
